isco88_1digit;isco88_1digit_label;isco88_2digit;isco88_2digit_label;isco88_3digit;isco88_3digit_label;isco88_4digit;isco88_4digit_label
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;314;SHIP AND AIRCRAFT CONTROLLERS AND TECHNICIANS ;3143;Aircraft pilots and related associate professionals
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;314;SHIP AND AIRCRAFT CONTROLLERS AND TECHNICIANS ;3144;Air traffic controllers
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;314;SHIP AND AIRCRAFT CONTROLLERS AND TECHNICIANS ;3145;Air traffic safety technicians
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;315;SAFETY AND QUALITY INSPECTORS ;3151;Building and fire inspectors
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;315;SAFETY AND QUALITY INSPECTORS ;3152;Safety, health and quality inspectors
3;Technicians and Associate Professionals;32;Life Science And Health Associate Professionals;321;LIFE SCIENCE TECHNICIANS AND RELATED ASSOCIATE PROFESSIONALS ;3211;Life science technicians
3;Technicians and Associate Professionals;32;Life Science And Health Associate Professionals;321;LIFE SCIENCE TECHNICIANS AND RELATED ASSOCIATE PROFESSIONALS ;3212;Agronomy and forestry technicians
3;Technicians and Associate Professionals;32;Life Science And Health Associate Professionals;321;LIFE SCIENCE TECHNICIANS AND RELATED ASSOCIATE PROFESSIONALS ;3213;Farming and forestry advisers
3;Technicians and Associate Professionals;32;Life Science And Health Associate Professionals;322;MODERN HEALTH ASSOCIATE PROFESSIONALS (except nursing) ;3221;Medical assistants
3;Technicians and Associate Professionals;32;Life Science And Health Associate Professionals;322;MODERN HEALTH ASSOCIATE PROFESSIONALS (except nursing) ;3222;Sanitarians
3;Technicians and Associate Professionals;32;Life Science And Health Associate Professionals;322;MODERN HEALTH ASSOCIATE PROFESSIONALS (except nursing) ;3223;Dieticians and nutritionists
3;Technicians and Associate Professionals;32;Life Science And Health Associate Professionals;322;MODERN HEALTH ASSOCIATE PROFESSIONALS (except nursing) ;3224;Optometrists and opticians
3;Technicians and Associate Professionals;32;Life Science And Health Associate Professionals;322;MODERN HEALTH ASSOCIATE PROFESSIONALS (except nursing) ;3225;Dental assistants
3;Technicians and Associate Professionals;32;Life Science And Health Associate Professionals;322;MODERN HEALTH ASSOCIATE PROFESSIONALS (except nursing) ;3226;Physiotherapists and related associate professionals
3;Technicians and Associate Professionals;32;Life Science And Health Associate Professionals;322;MODERN HEALTH ASSOCIATE PROFESSIONALS (except nursing) ;3227;Veterinary assistants
3;Technicians and Associate Professionals;32;Life Science And Health Associate Professionals;322;MODERN HEALTH ASSOCIATE PROFESSIONALS (except nursing) ;3228;Pharmaceutical assistants
3;Technicians and Associate Professionals;32;Life Science And Health Associate Professionals;322;MODERN HEALTH ASSOCIATE PROFESSIONALS (except nursing) ;3229;Modern health associate professionals (except nursing) not elsewhere classified
3;Technicians and Associate Professionals;32;Life Science And Health Associate Professionals;323;NURSING AND MIDWIFERY ASSOCIATE PROFESSIONALS ;3231;Nursing associate professionals
3;Technicians and Associate Professionals;32;Life Science And Health Associate Professionals;323;NURSING AND MIDWIFERY ASSOCIATE PROFESSIONALS ;3232;Midwifery associate professionals
3;Technicians and Associate Professionals;32;Life Science And Health Associate Professionals;324;TRADITIONAL MEDICINE PRACTITIONERS AND FAITH HEALERS ;3241;Traditional medicine practitioners
3;Technicians and Associate Professionals;32;Life Science And Health Associate Professionals;324;TRADITIONAL MEDICINE PRACTITIONERS AND FAITH HEALERS ;3242;Faith healers
3;Technicians and Associate Professionals;33;Teaching Associate Professionals;331;PRIMARY EDUCATION TEACHING ASSOCIATE PROFESSIONALS ;3310;Primary education teaching associate professionals
3;Technicians and Associate Professionals;33;Teaching Associate Professionals;332;PRE-PRIMARY EDUCATION TEACHING ASSOCIATE PROFESSIONALS ;3320;Pre-primary education teaching associate professionals
3;Technicians and Associate Professionals;33;Teaching Associate Professionals;333;SPECIAL EDUCATION TEACHING ASSOCIATE PROFESSIONALS ;3330;Special education teaching associate professionals
3;Technicians and Associate Professionals;33;Teaching Associate Professionals;334;OTHER TEACHING ASSOCIATE PROFESSIONALS ;3340;Other teaching associate professionals
3;Technicians and Associate Professionals;34;Other Associate Professionals;341;FINANCE AND SALES ASSOCIATE PROFESSIONALS ;3411;Securities and finance dealers and brokers
3;Technicians and Associate Professionals;34;Other Associate Professionals;341;FINANCE AND SALES ASSOCIATE PROFESSIONALS ;3412;Insurance representatives
3;Technicians and Associate Professionals;34;Other Associate Professionals;341;FINANCE AND SALES ASSOCIATE PROFESSIONALS ;3413;Estate agents
3;Technicians and Associate Professionals;34;Other Associate Professionals;341;FINANCE AND SALES ASSOCIATE PROFESSIONALS ;3414;Travel consultants and organisers
3;Technicians and Associate Professionals;34;Other Associate Professionals;341;FINANCE AND SALES ASSOCIATE PROFESSIONALS ;3415;Technical and commercial sales representatives
3;Technicians and Associate Professionals;34;Other Associate Professionals;341;FINANCE AND SALES ASSOCIATE PROFESSIONALS ;3416;Buyers
3;Technicians and Associate Professionals;34;Other Associate Professionals;341;FINANCE AND SALES ASSOCIATE PROFESSIONALS ;3417;Appraisers, valuers and auctioneers
3;Technicians and Associate Professionals;34;Other Associate Professionals;341;FINANCE AND SALES ASSOCIATE PROFESSIONALS ;3419;Finance and sales associate professionals not elsewhere classified
